age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
39,Government,Bachelors,Single,Not-in-family,White-Collar,White,Male,2174,0,40,0
50,Self-Employed,Bachelors,Married,Husband,White-Collar,White,Male,0,0,13,0
38,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
53,Private,School,Married,Husband,Blue-Collar,Black,Male,0,0,40,0
28,Private,Bachelors,Married,Wife,Professional,Black,Female,0,0,40,0
37,Private,Masters,Married,Wife,White-Collar,White,Female,0,0,40,0
49,Private,School,Married,Not-in-family,Service,Black,Female,0,0,16,0
52,Self-Employed,HS-grad,Married,Husband,White-Collar,White,Male,0,0,45,1
31,Private,Masters,Single,Not-in-family,Professional,White,Female,14084,0,50,1
42,Private,Bachelors,Married,Husband,White-Collar,White,Male,5178,0,40,1
37,Private,Some-college,Married,Husband,White-Collar,Black,Male,0,0,80,1
30,Government,Bachelors,Married,Husband,Professional,Asian-Pac-Islander,Male,0,0,40,1
23,Private,Bachelors,Single,Own-child,White-Collar,White,Female,0,0,30,0
32,Private,Assoc,Single,Not-in-family,Sales,Black,Male,0,0,50,0
40,Private,Assoc,Married,Husband,Blue-Collar,Asian-Pac-Islander,Male,0,0,40,1
34,Private,School,Married,Husband,Blue-Collar,Amer-Indian-Eskimo,Male,0,0,45,0
25,Self-Employed,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,35,0
32,Private,HS-grad,Single,Unmarried,Blue-Collar,White,Male,0,0,40,0
38,Private,School,Married,Husband,Sales,White,Male,0,0,50,0
43,Self-Employed,Masters,Divorced,Unmarried,White-Collar,White,Female,0,0,45,1
40,Private,Doctorate,Married,Husband,Professional,White,Male,0,0,60,1
54,Private,HS-grad,Separated,Unmarried,Service,Black,Female,0,0,20,0
35,Government,School,Married,Husband,Blue-Collar,Black,Male,0,0,40,0
43,Private,School,Married,Husband,Blue-Collar,White,Male,0,2042,40,0
59,Private,HS-grad,Divorced,Unmarried,Service,White,Female,0,0,40,0
56,Government,Bachelors,Married,Husband,Service,White,Male,0,0,40,1
19,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
54,Other/Unknown,Some-college,Married,Husband,Other/Unknown,Asian-Pac-Islander,Male,0,0,60,1
39,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Male,0,0,80,0
49,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
23,Government,Assoc,Single,Not-in-family,Service,White,Male,0,0,52,0
20,Private,Some-college,Single,Own-child,Sales,Black,Male,0,0,44,0
45,Private,Bachelors,Divorced,Own-child,White-Collar,White,Male,0,1408,40,0
30,Government,Some-college,Married,Own-child,White-Collar,White,Male,0,0,40,0
22,Government,Some-college,Married,Husband,Service,Black,Male,0,0,15,0
48,Private,School,Single,Unmarried,Blue-Collar,White,Male,0,0,40,0
21,Private,Some-college,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
19,Private,HS-grad,Married,Wife,White-Collar,White,Female,0,0,25,0
31,Private,Some-college,Married,Husband,Sales,White,Male,0,0,38,1
48,Self-Employed,Assoc,Married,Husband,Professional,White,Male,0,0,40,0
31,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,43,0
53,Self-Employed,Bachelors,Married,Husband,Professional,White,Male,0,0,40,0
24,Private,Bachelors,Married,Husband,Service,White,Male,0,0,50,0
49,Private,HS-grad,Separated,Unmarried,White-Collar,White,Female,0,0,40,0
25,Private,HS-grad,Single,Not-in-family,Blue-Collar,White,Male,0,0,35,0
57,Government,Bachelors,Married,Husband,Professional,Black,Male,0,0,40,1
53,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,38,0
44,Private,Masters,Divorced,Unmarried,White-Collar,White,Female,0,0,40,0
41,Government,Assoc,Married,Husband,Blue-Collar,White,Male,0,0,40,0
29,Private,Assoc,Single,Not-in-family,Professional,White,Male,0,0,43,0
25,Private,Some-college,Married,Wife,White-Collar,Other,Female,0,0,40,0
18,Private,HS-grad,Single,Own-child,Service,White,Female,0,0,30,0
47,Private,Prof-school,Married,Wife,Professional,White,Female,0,1902,60,1
50,Government,Bachelors,Divorced,Not-in-family,White-Collar,White,Male,0,0,55,1
47,Self-Employed,HS-grad,Divorced,Not-in-family,White-Collar,White,Male,0,0,60,0
