sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,low_risk
Male,34,African-American,0,0,0,0,F,0
Male,24,African-American,0,0,1,4,F,0
Male,23,African-American,0,1,0,1,F,1
Male,41,Caucasian,0,0,0,14,F,0
Female,39,Caucasian,0,0,0,0,M,1
Male,21,Caucasian,0,0,0,1,F,0
Male,27,Caucasian,0,0,0,0,F,1
Male,23,African-American,0,0,0,3,M,0
Female,37,Caucasian,0,0,0,0,M,1
Male,41,African-American,0,0,0,0,F,1
Female,47,Caucasian,0,0,0,1,F,0
Male,31,African-American,0,0,0,7,F,0
Male,25,African-American,0,0,0,3,F,1
Male,31,Caucasian,0,0,0,6,F,0
Male,31,Caucasian,0,0,0,5,F,0
Male,64,African-American,0,0,0,13,F,0
Male,21,African-American,0,0,0,1,F,0
Male,27,Caucasian,0,0,0,0,M,0
Female,21,Caucasian,0,0,0,0,F,1
Male,43,Caucasian,0,0,0,1,M,1
Male,27,African-American,0,0,0,8,F,0
Female,36,Caucasian,0,0,0,3,F,1
Male,26,African-American,0,0,1,5,F,0
Male,33,African-American,0,0,0,0,F,0
Male,30,Caucasian,0,0,0,9,F,0
Male,32,African-American,0,0,0,4,F,0
Male,55,Caucasian,0,0,0,0,F,1
Male,26,Caucasian,0,0,2,6,M,1
Female,33,Caucasian,0,0,0,4,M,0
Male,24,Caucasian,0,0,0,1,M,0
Male,34,African-American,2,1,3,21,F,0
Male,29,Caucasian,0,0,0,0,M,1
Female,21,African-American,0,0,0,2,F,1
Male,51,African-American,0,0,0,2,M,1
Male,29,Caucasian,0,0,0,2,M,0
Female,51,African-American,0,0,0,7,F,1
Male,29,African-American,0,0,0,0,F,0
Male,25,Caucasian,0,0,0,9,M,0
Male,35,African-American,1,0,4,13,F,0
Male,49,Caucasian,0,0,0,0,M,1
Male,34,African-American,0,0,0,4,M,0
Male,29,African-American,0,0,0,0,F,1
Male,29,Caucasian,0,0,0,1,F,0
Male,48,Caucasian,0,0,0,20,F,0
Male,31,African-American,0,0,1,15,F,1
Male,24,African-American,0,0,0,2,F,0
Male,49,African-American,0,0,0,4,M,1
Male,53,Caucasian,0,0,0,8,F,1
Male,35,African-American,0,0,0,5,F,1
Male,63,African-American,0,0,0,10,M,0
Male,27,African-American,1,1,2,15,F,0
Male,38,Caucasian,0,0,0,4,M,0
Male,22,African-American,0,0,1,1,F,0
Male,22,African-American,0,1,2,2,F,0
Male,29,African-American,0,0,0,4,F,0
Male,27,African-American,0,1,0,6,F,0
Female,56,African-American,0,0,0,0,M,1
Male,39,African-American,0,0,0,1,M,1
Male,29,African-American,0,0,0,5,F,0
Male,27,Caucasian,0,0,1,1,F,0
Male,40,African-American,0,0,0,2,F,1
Male,22,African-American,0,0,0,1,M,0
Male,22,Caucasian,0,0,0,0,F,1
Female,26,African-American,0,0,0,1,F,0
Male,27,Caucasian,0,0,0,1,F,0
Male,32,African-American,0,0,0,0,F,1
Male,41,African-American,0,0,0,1,M,1
Male,30,African-American,0,0,0,8,M,0
Male,25,African-American,1,6,1,14,F,0
Male,22,African-American,1,0,0,2,F,0
Male,23,African-American,0,0,1,2,M,0
Female,35,African-American,0,0,0,1,M,1
Male,36,African-American,0,0,0,9,F,0
Male,26,Caucasian,0,0,0,7,F,0
Male,25,Caucasian,0,0,0,9,F,0
Male,71,African-American,0,0,0,12,M,1
Female,20,Caucasian,0,0,0,0,F,1
Male,39,Caucasian,0,0,0,2,F,0
Male,66,Caucasian,0,0,0,3,F,1
Female,54,Caucasian,0,0,0,0,M,1
Male,19,African-American,0,0,0,1,M,0
Male,24,African-American,0,0,0,1,F,1
Male,30,African-American,0,0,0,1,F,1
Female,39,Caucasian,0,0,0,0,F,0
Male,24,Caucasian,0,1,2,8,F,0
Male,30,Caucasian,0,0,0,0,F,1
Male,31,Caucasian,0,0,0,0,M,1
Female,39,Caucasian,0,0,0,1,F,1
Male,59,African-American,0,0,0,14,F,0
Male,43,Caucasian,0,0,0,1,F,1
Male,21,African-American,0,0,0,3,F,0
Male,38,Caucasian,0,0,0,5,M,0
Male,34,Caucasian,0,0,0,0,F,1
Male,33,African-American,0,0,0,5,F,0
Male,37,African-American,0,0,0,3,F,1
Male,42,Caucasian,0,0,0,1,F,0
Male,41,African-American,0,1,0,10,F,0
Male,22,African-American,0,0,0,0,F,0
Male,33,African-American,0,12,2,28,F,0
Male,31,African-American,0,0,0,1,M,1
Male,31,Caucasian,0,0,0,13,F,0
Male,27,African-American,0,0,0,3,F,0
Male,56,African-American,0,0,0,8,F,1
Male,52,Caucasian,0,0,0,3,M,1
Male,33,African-American,0,0,0,19,F,0
Female,64,Caucasian,0,0,0,2,M,1
Male,22,Caucasian,0,0,0,4,F,0
Male,42,Caucasian,0,0,0,6,F,1
Female,25,Caucasian,0,0,0,2,F,1
Male,30,Caucasian,0,0,0,1,M,1
Male,28,Caucasian,0,0,0,2,F,1
Male,28,Caucasian,0,0,0,0,M,0
Female,24,African-American,0,0,0,0,M,1
Female,29,Caucasian,0,1,0,10,F,0
Male,44,Caucasian,0,0,0,2,M,0
Male,32,African-American,0,0,0,3,F,0
Male,31,Caucasian,0,0,0,2,M,0
Male,31,African-American,0,0,0,1,M,1
Male,59,Caucasian,0,0,0,1,F,0
Female,45,Caucasian,0,0,0,4,F,1
Female,20,African-American,1,0,0,1,F,1
Female,43,Caucasian,0,0,0,0,M,1
Male,38,African-American,1,1,0,9,F,0
Male,32,African-American,0,0,0,11,F,0
Male,33,African-American,0,0,0,8,M,0
Female,31,African-American,0,0,0,0,F,0
Female,33,African-American,0,0,0,7,F,0
Male,27,African-American,0,0,0,2,F,0
Female,20,African-American,0,0,0,0,F,1
Female,26,Caucasian,0,0,0,0,M,1
Female,61,African-American,0,0,0,1,F,0
Female,32,African-American,0,0,0,4,F,0
Female,26,African-American,0,0,0,2,M,0
Male,55,African-American,0,0,0,3,M,1
Male,39,Caucasian,1,0,0,1,M,1
Female,30,Caucasian,0,0,0,3,F,0
Male,30,African-American,0,0,0,1,F,1
Male,48,Caucasian,0,0,0,2,M,1
Male,22,African-American,0,0,0,1,F,1
Male,46,Caucasian,0,0,0,6,F,0
Female,49,Caucasian,0,0,0,6,F,1
Male,31,Caucasian,0,0,0,0,F,1
Male,25,African-American,0,0,0,1,M,0
Female,32,African-American,0,0,0,5,F,1
Male,62,African-American,0,0,0,8,F,1
Female,37,Caucasian,0,0,0,6,F,1
