,age,decile1,decile3,fam_inc,lsat,ugpa,cluster,fulltime,male,race1,pass_bar
0,-62.0,10.0,10.0,5.0,44.0,3.5,1.0,1.0,0.0,0,1.0
1,-62.0,5.0,4.0,4.0,29.0,3.5,2.0,1.0,0.0,0,1.0
2,-58.0,3.0,2.0,1.0,36.0,3.5,3.0,1.0,1.0,0,1.0
3,-51.0,7.0,4.0,4.0,39.0,3.5,3.0,1.0,1.0,0,1.0
4,-61.0,9.0,8.0,4.0,48.0,3.5,4.0,1.0,1.0,0,1.0
5,-61.0,3.0,5.0,4.0,40.0,3.5,3.0,1.0,0.0,0,1.0
6,-62.0,9.0,7.0,3.0,34.0,3.5,3.0,1.0,0.0,0,1.0
7,-48.0,10.0,10.0,2.0,40.0,3.5,3.0,2.0,1.0,0,1.0
8,-61.0,4.0,2.0,4.0,40.0,3.5,4.0,1.0,1.0,0,1.0
9,-62.0,7.0,5.0,2.0,28.0,3.5,6.0,1.0,0.0,1,0.0
10,-65.0,3.0,2.0,4.0,33.0,3.5,2.0,1.0,0.0,0,0.0
11,-62.0,6.0,5.0,3.0,36.0,3.5,1.0,1.0,0.0,0,1.0
13,-62.0,7.0,7.0,2.0,31.0,3.5,3.0,1.0,0.0,0,1.0
14,-61.0,6.0,6.0,3.0,42.0,3.5,1.0,1.0,1.0,0,1.0
15,-63.0,5.0,3.0,4.0,34.0,3.5,3.0,1.0,0.0,0,1.0
16,-62.0,6.0,6.0,4.0,39.0,3.5,4.0,1.0,1.0,2,1.0
17,-62.0,5.0,3.0,4.0,33.0,3.5,4.0,1.0,0.0,0,1.0
18,-54.0,5.0,5.0,3.0,44.0,3.5,1.0,1.0,0.0,0,1.0
20,-62.0,3.0,6.0,3.0,32.0,3.5,3.0,1.0,0.0,0,1.0
21,-62.0,1.0,1.0,3.0,30.0,3.5,3.0,1.0,0.0,0,1.0
22,-59.0,5.0,5.0,3.0,36.0,3.5,1.0,1.0,0.0,0,1.0
23,-61.0,8.0,7.0,3.0,38.0,3.5,3.0,1.0,0.0,0,1.0
24,-61.0,10.0,9.0,4.0,35.0,3.5,3.0,1.0,1.0,0,1.0
25,-59.0,8.0,8.0,3.0,31.0,3.5,2.0,1.0,0.0,0,1.0
26,-62.0,3.0,4.0,4.0,47.0,3.5,5.0,1.0,1.0,0,1.0
27,-67.0,8.0,5.0,4.0,40.0,3.5,3.0,1.0,0.0,0,1.0
28,-61.0,7.0,7.0,3.0,30.0,3.5,2.0,1.0,0.0,0,1.0
29,-44.0,10.0,10.0,3.0,34.0,3.5,3.0,1.0,1.0,0,1.0
30,-49.0,3.0,5.0,3.0,39.0,3.5,1.0,1.0,1.0,0,1.0
31,-63.0,9.0,7.0,3.0,48.0,3.5,5.0,1.0,1.0,0,1.0
32,-61.0,6.0,4.0,1.0,37.0,3.5,1.0,1.0,1.0,0,1.0
33,-62.0,6.0,7.0,2.0,39.0,3.5,1.0,1.0,0.0,0,1.0
34,-62.0,4.0,3.0,3.0,33.0,3.5,3.0,1.0,0.0,0,1.0
35,-60.0,6.0,8.0,4.0,45.0,3.5,1.0,1.0,1.0,0,1.0
36,-58.0,10.0,9.0,4.0,36.0,3.5,3.0,1.0,0.0,0,1.0
37,-60.0,10.0,10.0,4.0,44.0,3.5,4.0,1.0,1.0,0,1.0
38,-62.0,1.0,1.0,4.0,30.5,3.5,3.0,1.0,1.0,0,1.0
39,-48.0,10.0,10.0,3.0,40.0,3.5,1.0,1.0,1.0,0,1.0
40,-62.0,7.0,9.0,4.0,48.0,3.5,4.0,1.0,0.0,0,1.0
41,-51.0,6.0,5.0,3.0,39.0,3.5,4.0,1.0,0.0,0,1.0
42,-47.0,9.0,10.0,3.0,31.0,3.5,3.0,2.0,0.0,0,1.0
43,-62.0,8.0,8.0,4.0,33.5,3.5,4.0,1.0,1.0,0,1.0
44,-61.0,10.0,10.0,3.0,31.0,3.5,3.0,1.0,0.0,0,1.0
45,-62.0,2.0,3.0,4.0,32.0,3.5,3.0,1.0,1.0,0,1.0
